,DRiLLSv1,,,DRiLLSv2,,,
,LUT-6,Level,Episode,LUT-6,Level,Episode,LUT Improvement
adder,243,51,1,243,51,1,0.00%
arbiter,2715,18,1,2714,18,3,0.04%
bar,512,4,1,512,4,1,0.00%
cavlc,111,4,11,114,4,11,-2.70%
ctrl,28,2,2,28,2,1,0.00%
div,5071,862,25,4911,867,26,3.16%
hyp,44388,4192,15,,,,
i2c,302,4,5,273,4,2,9.60%
int2float,41,4,29,42,4,21,-2.44%
log2,7691,73,13,7694,75,21,-0.04%
max,746,41,14,749,44,4,-0.40%
mem_ctrl,10494,25,2,9774,18,16,6.86%
multiplier,5758,53,18,5776,53,10,-0.31%
priority,142,19,57,135,21,6,4.93%
router,69,5,59,66,5,15,4.35%
sin,1429,36,42,,,,
sqrt,3798,1017,19,3123,1007,1,17.77%
square,3883,50,39,3887,50,8,-0.10%
voter,1396,12,89,1426,12,27,-2.15%
,4674.578947,340.6315789,23.26315789,,,,
